,FName,LName,DOB,OrderDate
14248,Gerald,Holmes,12/16/1956,3/19/1952
14249,Adelaide,Meyer,1/9/1977,3/19/2013
14250,Tommy,Robbins,9/27/1974,8/24/1926
14251,Nina,Baker,10/26/1954,3/2/1977
14252,Chase,Williamson,4/8/1985,12/12/1924
14253,Jesse,Salazar,9/30/1971,11/21/1959
14254,Rachel,Carter,6/13/1983,2/3/2069
14255,Mamie,Ramos,3/12/1975,9/10/1963
14256,Marian,Rowe,11/11/1962,1/9/1907
14257,Sue,McGee,7/26/1967,9/20/2026
14258,Fred,Strickland,5/20/1956,6/5/2009
14259,Lura,Goodwin,2/4/1992,9/29/2032
14260,Ronnie,Gray,12/17/1968,8/6/1914
14261,Stanley,Simon,3/3/1977,6/27/2004
14262,Olivia,Greer,5/25/1984,5/5/1973
14263,Harvey,Alvarez,12/17/1985,9/2/1936
14264,Trevor,Terry,11/14/1997,9/12/1945
14265,Duane,Cox,1/10/1963,8/13/1946
14266,Herman,Reyes,7/4/1960,8/1/1993
14267,Steve,Flores,11/15/1983,8/5/2015
14268,Vera,Mendoza,9/4/1991,4/12/1982
14269,Ann,Page,1/22/1993,10/12/1973
14270,Winnie,Norton,12/13/1978,3/12/1938
14271,Jon,Herrera,12/30/1977,7/4/1977
14272,Stephen,Soto,7/7/1985,9/14/2054
14273,Louis,Alvarado,3/28/1965,7/24/1988
14274,Jason,Crawford,2/15/1956,9/23/2070
14275,Carrie,Luna,5/8/1965,2/12/1982
14276,Lydia,Powers,2/8/1962,7/9/2024
14277,Howard,McGee,8/19/1976,6/19/1960
14278,Jesus,Todd,1/15/1977,7/1/2042
14279,Leon,Lane,12/7/1966,12/2/1942
14280,Theodore,Bowers,3/2/1972,5/1/1952
14281,Sylvia,Hodges,3/15/1999,9/2/1975
14282,Maurice,Taylor,12/23/1965,6/4/1980
14283,Harvey,Lee,11/23/1995,12/13/2062
14284,Frank,Jimenez,11/21/1975,12/28/1905
14285,Joshua,Alvarez,4/28/1979,9/12/2047
14286,Larry,Barrett,9/26/1989,10/6/1954
14287,Mabel,Moss,5/24/1994,9/18/1922
14288,Gene,Page,2/16/1960,8/25/2033
14289,Emily,Jensen,1/17/1957,1/26/2045
14290,Eugenia,Yates,7/9/1979,4/18/2069
14291,Alfred,Martinez,4/13/1976,8/23/2059
14292,Cole,Ray,4/5/1992,10/13/1951
14293,Cynthia,Moss,2/27/1971,4/16/1905
14294,Randy,Brock,3/22/1953,4/2/1918
14295,Norman,Burgess,5/2/1984,11/1/2060
14296,Duane,Bush,10/14/1971,9/16/1978
14297,Paul,Hoffman,2/2/1957,2/4/2003
14298,Bernice,Reyes,8/21/1960,6/19/1976
14299,Dominic,Obrien,1/22/1970,12/28/1900
14300,Estella,Wilkins,4/5/1955,2/14/1935
14301,Scott,Byrd,12/2/1969,4/1/1967
14302,Cornelia,Carlson,12/4/1962,12/29/1922
14303,Mitchell,Clayton,4/20/1963,7/31/1984
14304,Dale,Lawson,6/15/1965,4/2/1984
14305,Adele,Fitzgerald,1/7/1986,3/15/1987
14306,Micheal,Burns,10/1/1952,7/13/2039
14307,Paul,Gordon,3/5/1984,1/26/1947
14308,Anne,Singleton,12/26/1952,4/22/2038
14309,Dean,Greene,8/12/1961,4/19/2019
14310,Nellie,Vega,11/26/1970,5/30/1944
14311,Carl,Sandoval,3/30/1953,9/27/2010
14312,Trevor,Hall,12/26/1972,3/31/2069
14313,Martha,Reeves,9/25/1957,9/8/2032
14314,Micheal,Nichols,8/4/1973,6/29/2067
14315,Rose,Davis,6/27/1979,10/12/1954
14316,Willie,Lewis,3/7/1959,8/16/1965
14317,Billy,Stewart,6/11/1984,10/5/1957
14318,Ruby,Harvey,1/31/1992,10/11/2033
14319,Isabella,Rose,7/4/1984,8/28/1946
14320,Owen,Gonzales,4/5/1975,8/14/2038
14321,Cole,Austin,8/22/1958,11/6/1974
14322,Cameron,Lewis,7/20/1996,2/15/1934
14323,Ida,Alexander,2/28/1952,10/9/1974
14324,Alejandro,Guzman,10/25/1967,12/27/2062
14325,Hettie,Cooper,12/6/1980,4/20/1988
14326,Mathilda,Black,7/6/1981,6/9/2052
14327,Leo,Dennis,6/15/1977,2/8/2062
14328,Peter,Horton,4/27/1997,9/7/2039
14329,Mina,Pierce,9/4/1988,7/11/2014
14330,Walter,Morton,12/21/1987,5/6/1910
14331,Glenn,Vaughn,2/4/1991,5/30/2027
14332,Kevin,Banks,9/7/1986,12/6/1943
14333,David,Fitzgerald,2/15/1996,7/6/1912
14334,Nelle,Ortiz,1/1/1978,12/19/2059
14335,Kate,Quinn,2/14/1981,9/23/1972
14336,Miguel,Freeman,7/29/1963,12/17/2069
14337,Edith,Mack,11/4/1984,3/18/1908
14338,Lucas,Horton,10/20/1976,11/2/2015
14339,Floyd,Briggs,4/1/1971,5/9/2011
14340,Scott,Porter,11/1/1976,8/15/2066
14341,Nicholas,Bryan,4/24/1956,9/30/1998
14342,Minnie,Tran,9/14/1955,11/17/1982
14343,Terry,Chambers,2/15/1956,4/24/1946
14344,Lela,Thornton,4/24/1969,3/7/1975
14345,Fannie,Colon,10/3/1997,2/27/1996
14346,Inez,Shelton,6/29/1981,2/19/1922
14347,Willie,Potter,9/30/1965,9/24/1992
14348,Jacob,Vargas,6/13/1998,4/21/1925
14349,Lilly,Keller,9/19/1987,12/8/2039
14350,Mae,Miller,4/25/1997,6/3/1991
14351,Bess,Williamson,5/3/1955,2/14/2010
14352,Clara,Berry,6/16/1966,3/3/2002
14353,Verna,Washington,1/17/1959,1/7/1979
14354,Floyd,Cain,9/13/1994,9/1/2022
14355,William,Vargas,12/19/1964,12/31/2016
14356,Dale,Franklin,8/17/1956,12/1/1913
14357,Chad,Goodwin,2/20/1991,7/21/2005
14358,Ida,Gregory,3/20/1994,1/18/1933
14359,Bernice,Chavez,4/29/1995,12/19/1907
14360,Connor,Day,9/14/1969,8/15/2004
14361,Madge,Coleman,8/5/1975,12/9/1982
14362,Elijah,Wright,11/29/1959,3/2/1939
14363,Clayton,Sullivan,10/22/1972,6/1/1915
14364,Alex,Peters,12/10/1996,10/2/2017
14365,Frederick,Young,10/13/1968,10/8/1955
14366,Tommy,Nguyen,10/5/1993,3/21/1941
14367,Cecilia,Martin,12/17/1962,9/24/2045
14368,Ethan,Schwartz,7/18/1991,9/14/1943
14369,Corey,Rodgers,3/18/1977,2/24/1915
14370,Dale,Atkins,5/9/1957,10/13/1966
14371,Edward,Mendoza,11/20/1957,7/14/1946
14372,Bryan,Hale,7/16/1971,8/12/2013
14373,Jessie,Marsh,12/21/1968,3/9/1915
14374,Janie,Adkins,9/17/1957,12/10/1974
14375,Callie,Hudson,5/3/1986,10/9/2023
14376,Linnie,Singleton,6/8/1995,3/8/2046
14377,Lida,Warner,3/11/1990,12/29/2025
14378,Eugenia,May,11/21/1962,12/26/1967
14379,Eliza,Carter,1/14/1988,2/11/2023
14380,Benjamin,Webb,4/24/1990,6/6/2005
14381,Evan,Cannon,9/24/1986,1/1/2004
14382,Jean,Allen,5/16/1965,11/23/2009
14383,Mary,Flowers,4/18/1973,10/16/1917
14384,Ralph,Pena,10/15/1955,12/1/2050
14385,Ricky,Lopez,1/16/1999,10/11/2034
14386,Josephine,Hoffman,12/19/1956,11/6/2004
14387,Maria,Holmes,6/3/1976,3/23/2043
14388,Ellen,Meyer,12/9/1993,7/1/1923
14389,Dennis,Griffin,10/29/1968,1/4/2030
14390,Lenora,Cobb,5/2/1956,10/11/2024
14391,Hallie,Simpson,9/1/1976,6/11/1961
14392,Dustin,Hernandez,10/13/1958,5/2/1918
14393,Ronnie,Evans,1/16/1954,12/5/1948
14394,James,Arnold,8/10/1968,11/16/1911
14395,Christopher,Lindsey,10/25/1969,11/28/2015
14396,Mabel,Shaw,10/21/1952,7/8/1982
14397,Cecelia,Moss,11/18/1993,2/7/2012
14398,Mina,Ward,10/22/1961,7/4/1931
14399,Vernon,Kim,5/29/1977,12/19/2035
14400,Paul,Holland,6/9/1968,10/26/2063
14401,Charlotte,Hayes,4/15/1979,1/7/2030
14402,Troy,Richards,12/22/1986,4/14/2008
14403,Alta,Gregory,10/1/1962,2/28/1943
14404,Teresa,Blair,7/4/1976,2/5/1991
14405,Dominic,Abbott,4/9/1992,5/7/1981
14406,Miguel,McDonald,4/5/1982,10/13/1957
14407,Devin,Leonard,8/26/1985,6/14/2019
14408,Ricardo,Riley,1/30/1996,5/7/2032
14409,Terry,Hines,11/5/1998,9/26/1973
14410,Dennis,Byrd,2/5/1962,12/8/1998
14411,Birdie,Ingram,7/29/1979,5/5/2002
14412,Tillie,Reyes,4/19/1984,10/18/2016
14413,Hettie,Casey,1/17/1989,12/13/1949
14414,Virgie,Davis,8/28/1981,10/2/1994
14415,Tom,Craig,2/18/1974,4/16/2011
14416,Elizabeth,Peterson,2/11/1961,12/9/1916
14417,Willie,Cox,6/22/1980,11/21/1901
14418,Scott,Reed,10/22/1955,5/11/1986
14419,Jennie,Robertson,12/6/1972,1/8/1954
14420,Mittie,Summers,4/8/1980,7/15/1918
14421,Caleb,Mills,7/31/1989,10/17/1916
14422,Leah,Hanson,9/20/1984,10/11/2018
14423,Leila,Franklin,4/4/1971,7/7/1924
14424,Russell,Fields,4/13/1977,2/17/1905
14425,Leila,Colon,11/26/1969,2/10/2020
14426,Helena,Lawson,8/29/1987,4/27/1981
14427,Inez,Turner,6/22/1977,3/30/2039
14428,Howard,Young,7/11/1976,4/16/1983
14429,Marion,Carter,3/4/1967,8/24/2053
14430,Augusta,Lane,7/10/1961,1/15/2000
14431,Alexander,Warren,3/11/1994,10/30/2068
14432,George,Salazar,1/25/1958,7/20/1922
14433,Juan,Carpenter,3/13/1973,10/7/1961
14434,Nannie,Lowe,8/26/1991,1/12/2056
14435,Michael,Lambert,5/4/1991,10/6/1971
14436,Timothy,Larson,1/2/1977,8/3/2029
14437,Stanley,Williamson,6/26/1981,11/7/2046
14438,Celia,Fernandez,10/25/1957,10/5/1992
14439,Rodney,Hart,11/10/1979,4/3/2016
14440,Elva,Alvarez,1/23/1962,1/10/1978
14441,Willie,Rodriguez,9/7/1990,10/5/1975
14442,Marion,Clayton,10/28/1954,10/9/1965
14443,Claudia,Banks,11/23/1991,11/19/1916
14444,Maurice,Nunez,11/14/1963,6/23/2052
14445,George,Zimmerman,4/14/1981,9/12/2038
14446,Viola,Olson,8/13/1999,1/29/1981
14447,Linnie,Carter,12/5/1996,4/25/1940
14448,Nell,Griffin,11/8/1964,11/9/2032
14449,Mina,Hart,3/22/1953,8/18/1944
14450,Dominic,Parsons,10/4/1983,8/25/1945
14451,Ryan,Page,7/5/1975,8/20/1902
14452,Caleb,Rice,9/16/1989,1/15/2043
14453,Jason,Garcia,8/7/1969,7/12/2053
14454,Evelyn,Guerrero,9/11/1991,12/16/2038
14455,Robert,Jackson,11/18/1990,7/9/1908
14456,Garrett,Beck,4/16/1961,2/5/2039
14457,Emilie,Page,12/15/1953,7/31/1996
14458,Amy,Maxwell,4/24/1956,3/1/2036
14459,Maud,Butler,4/4/1999,11/4/1906
14460,Bernard,Briggs,3/16/1955,10/3/2009
14461,Alberta,Singleton,3/8/1955,11/1/1934
14462,Ernest,Kelley,9/3/1971,3/5/1957
14463,Amanda,Watson,9/24/1967,7/18/1986
14464,Bradley,Perry,4/10/1991,4/12/2000
14465,Essie,Harmon,1/2/1989,10/6/2017
14466,Lucy,Sandoval,9/11/1955,12/15/1940
14467,Eugenia,Vaughn,8/28/1967,2/19/1902
14468,Frank,Hawkins,9/22/1963,1/5/1983
14469,Warren,Lane,1/27/1968,8/14/1981
14470,Lucy,Harrison,11/19/1957,7/29/1976
14471,Russell,Tucker,4/27/1965,12/12/1986
14472,Sally,Drake,8/19/1973,2/19/1904
14473,Minerva,Clarke,8/17/1968,11/9/2064
14474,Lulu,Alexander,7/21/1995,3/3/2064
14475,Willie,Atkins,4/12/1961,11/27/1920
14476,Alma,Bass,2/23/1996,8/9/1979
14477,Alvin,Jackson,9/14/1986,7/5/2014
14478,Ethel,Ray,3/4/1995,4/25/1977
14479,Clifford,Harper,5/29/1967,11/1/1940
14480,Adeline,Wood,5/10/1958,9/20/2046
14481,Milton,Moody,4/5/1983,2/15/2037
14482,Marc,Green,7/28/1957,4/18/2023
14483,Jeanette,Wallace,2/14/1990,1/1/1957
14484,Clifford,Tran,6/25/1994,2/15/2051
14485,Matthew,Ward,9/25/1996,3/17/2023
14486,Gussie,Ward,3/7/1952,3/28/2066
14487,Billy,Rodriguez,8/4/1977,5/20/2048
14488,Randy,Sullivan,10/24/1991,2/23/2018
14489,Kyle,Stokes,3/11/1973,6/27/1997
14490,Bertie,McGuire,10/18/1974,11/10/1997
14491,Tom,Townsend,8/18/1957,8/2/2018
14492,Lucas,Medina,10/6/1956,1/28/2045
14493,Lulu,Barton,4/5/1962,11/29/1937
14494,Andrew,Blair,6/16/1998,11/9/1927
14495,Janie,Watkins,4/30/1975,3/6/2043
14496,Benjamin,Woods,2/11/1993,11/25/2052
14497,Lina,Shelton,1/23/1986,4/1/1967
14498,Elsie,Lloyd,6/5/1994,8/23/1971
14499,Brian,Baldwin,1/14/1967,5/7/1981
14500,Sue,Harper,6/19/1991,2/18/1980
14501,Roger,Mullins,9/1/1960,4/2/1932
14502,Gilbert,Banks,6/14/1992,9/2/2036
14503,Johnny,Simmons,6/23/1996,2/1/2018
14504,Edwin,Thomas,1/12/1987,5/19/2002
14505,Douglas,Brewer,10/6/1989,8/3/1943
14506,Ian,Casey,1/7/1984,6/8/2009
14507,Pearl,Harrington,5/6/1955,6/3/2066
14508,Aaron,Davidson,3/4/1975,2/11/1924
14509,Todd,Morris,4/22/1975,1/27/2041
14510,Lilly,Bailey,8/24/1969,10/6/1962
14511,Walter,Austin,3/17/1985,9/7/1993
14512,Alexander,Norris,10/26/1952,5/26/1917
14513,Dean,Brewer,4/10/1992,4/29/2007
14514,Phoebe,Jefferson,7/2/1982,8/12/1959
14515,Elnora,Webb,10/23/1965,11/17/1932
14516,Madge,Schneider,9/7/1968,11/27/1985
14517,Hattie,Hodges,6/18/1966,7/14/2049
14518,Nora,Ward,7/13/1987,2/16/1909
14519,Timothy,Gonzalez,11/13/1983,12/8/1931
14520,Sara,Garner,2/24/1967,12/23/2004
14521,Marguerite,Larson,1/3/1954,1/24/2070
14522,Olga,Cobb,5/8/1982,11/23/2032
14523,Jessie,Barton,6/28/1966,2/1/1968
14524,William,Wheeler,1/7/1985,1/3/2062
14525,Emily,Lawson,12/25/1968,5/21/2010
14526,Emma,Wagner,7/14/1963,11/1/1914
14527,Cameron,Spencer,6/4/1977,5/9/1925
14528,Mathilda,Castillo,12/1/1992,12/31/2063
14529,Lillie,Vaughn,2/24/1986,7/25/2055
14530,Hester,Rodriguez,8/24/1985,8/8/1988
14531,Mildred,Marshall,5/11/1980,12/29/2062
14532,Dustin,Miles,2/10/1966,3/10/2070
14533,Isabel,Robinson,5/8/1998,1/7/2033
14534,Kyle,Sanders,3/29/1990,4/6/1968
14535,Nora,Love,8/24/1981,2/8/2023
14536,Robert,Holland,6/17/1981,3/9/2008
14537,Adele,Perry,4/4/1987,8/16/1973
14538,Garrett,Cobb,7/26/1989,6/15/2041
14539,Curtis,Cross,4/16/1999,6/12/2065
14540,Terry,Summers,5/3/1977,12/5/2001
14541,Don,Benson,11/23/1984,10/26/2052
14542,Caroline,Willis,4/18/1973,8/5/1964
14543,Eugenia,Freeman,1/26/1999,6/23/2039
14544,Jeffrey,Schultz,11/5/1980,10/18/1980
14545,Sue,Gibson,12/19/1977,5/21/2068
14546,Jeffrey,Shaw,1/26/1976,1/23/1986
14547,Jonathan,Drake,9/8/1957,2/9/1944
14548,Abbie,Hopkins,1/10/1982,7/6/2000
14549,Flora,Long,12/16/1991,11/11/2010
14550,Sophie,Ellis,4/30/1997,2/12/1996
14551,Adelaide,West,5/10/1969,2/25/1918
14552,Owen,Andrews,7/2/1955,1/24/1975
14553,Hallie,Maldonado,4/28/1959,10/26/1981
14554,Lewis,Scott,5/30/1967,6/6/1961
14555,Ronnie,Underwood,2/17/1976,1/26/2068
14556,Cornelia,Hardy,3/6/1958,5/4/2012
14557,Lottie,Vargas,7/18/1981,7/6/1980
14558,Nicholas,Dennis,10/30/1989,12/18/2034
14559,Ethan,McCoy,9/4/1991,3/7/1944
14560,Elizabeth,Jenkins,1/10/1953,4/4/2017
14561,Owen,Gardner,8/12/1981,11/26/1974
14562,Eddie,Cummings,9/26/1967,12/20/1914
14563,Evelyn,Guzman,1/6/1983,1/31/1989
14564,Lois,Sherman,5/23/1960,8/30/2053
14565,Anne,Jacobs,3/17/1969,4/16/1959
14566,Frederick,Oliver,10/25/1959,10/18/1966
14567,Gabriel,Holloway,3/31/1953,5/21/1949
14568,Cory,Peters,11/2/1966,11/19/1964
14569,Arthur,Becker,7/24/1974,1/1/1997
14570,Rebecca,Sims,7/29/1984,8/30/1937
14571,Erik,Lee,11/30/1988,11/7/2007
14572,Andrew,Lewis,5/15/1999,12/19/1948
14573,Johanna,Burgess,1/22/1989,12/15/2061
14574,Gene,Dixon,5/3/1962,6/8/1911
14575,Lucy,Wong,1/17/1975,5/28/2039
14576,Willie,Perez,4/29/1961,2/20/2032
14577,Susan,Sutton,6/20/1996,5/16/1968
14578,Pauline,Holmes,2/28/1960,8/20/1911
14579,Edna,Garrett,7/25/1985,6/14/1990
14580,Genevieve,Watkins,11/10/1963,1/22/1919
14581,Tony,Owen,11/19/1956,5/1/1946
14582,Roger,Hunt,8/12/1997,10/26/2041
14583,Bradley,Taylor,1/25/1991,9/8/1915
14584,Hattie,Copeland,7/24/1995,7/3/1927
14585,Lois,Freeman,1/7/1966,7/3/1966
14586,Jerome,Schwartz,8/25/1979,5/3/1956
14587,Myra,Saunders,11/17/1992,6/2/2047
14588,Owen,Jennings,2/1/1973,5/10/2036
14589,Samuel,Morgan,2/18/1980,6/21/1901
14590,Tillie,Dunn,4/30/1977,3/6/2038
14591,Linnie,King,12/22/1994,3/23/1966
14592,Erik,Cunningham,4/16/1958,8/20/1995
14593,Mamie,James,2/12/1954,2/19/1965
14594,Abbie,Webb,7/19/1953,2/12/2045
14595,Nell,Roberts,9/8/1986,6/3/2065
14596,Victor,Walker,5/21/1954,3/10/1973
14597,Loretta,Silva,2/14/1989,9/10/2051
14598,Roger,Huff,7/6/1980,4/26/1951
14599,Stanley,Ross,11/6/1985,1/5/1926
14600,Marie,Green,4/21/1987,6/7/1926
14601,Joel,Hayes,2/5/1969,11/25/2017
14602,Sara,Roy,1/4/1953,8/26/2064
14603,Lawrence,Clarke,1/12/1988,3/25/1954
14604,Belle,Bates,1/20/1979,10/26/2018
14605,Jack,Zimmerman,9/9/1962,8/19/1990
14606,Sadie,Fowler,9/21/1988,5/22/1914
14607,Shawn,Woods,9/26/1953,9/25/1997
14608,Nell,Steele,5/1/1972,10/6/1910
14609,David,Bennett,3/10/1969,6/29/1900
14610,Emma,Fox,8/10/1993,2/3/2035
14611,Olivia,Leonard,3/14/1996,8/17/2065
14612,Bess,Schwartz,12/3/1968,3/23/2063
14613,Gussie,Cobb,7/21/1968,1/15/1995
14614,George,Lawrence,7/20/1973,12/5/1961
14615,Joe,Aguilar,2/17/1974,5/1/2032
14616,Jeffery,Reese,1/29/1972,1/13/2019
14617,Shawn,McCormick,11/22/1980,1/12/2064
14618,Tony,Morales,4/24/1970,8/6/2035
14619,Leo,McCarthy,6/21/1985,2/8/1917
14620,Mark,Nguyen,5/10/1966,11/3/2031
14621,Noah,Singleton,7/4/1993,2/22/1984
14622,Linnie,McLaughlin,10/16/1987,7/22/1923
14623,Allie,Fernandez,7/8/1975,12/20/1918
14624,Jack,Blair,1/26/1958,3/17/1928
14625,Shane,Goodman,12/10/1958,9/27/1988
14626,Nancy,Evans,12/20/1973,8/16/2009
14627,Alberta,Fields,2/19/1990,4/19/1991
14628,Philip,Parsons,10/14/1961,11/22/1933
14629,Max,Sanchez,5/15/1989,9/17/1949
14630,Bettie,Warren,12/21/1965,9/22/2041
14631,George,Green,10/13/1964,7/5/1915
14632,Jeanette,Nelson,2/17/1993,2/20/1950
14633,Jonathan,Garza,9/8/1956,10/15/2015
14634,Susie,Jones,5/4/1972,4/3/1939
14635,Marvin,Berry,11/1/1961,10/25/2008
14636,Rebecca,Floyd,8/7/1966,3/22/1927
14637,Francisco,Atkins,3/3/1990,3/14/2043
14638,Hulda,Lawrence,11/15/1964,8/28/1914
14639,Christian,Myers,7/23/1962,3/17/1999
14640,Dorothy,Hunt,6/11/1964,8/24/1975
14641,Nellie,Higgins,11/20/1957,3/27/2004
14642,Jerry,Fisher,12/24/1955,9/8/2005
14643,Mason,Hardy,8/28/1972,12/23/1945
14644,Viola,Hale,1/25/1981,7/17/1954
14645,Aaron,Harrison,6/10/1976,8/2/1983
14646,Bruce,Lamb,7/14/1967,3/14/1948
14647,Stanley,Lee,12/19/1998,3/10/2008
14648,Genevieve,Hardy,3/19/1985,2/4/1923
14649,Norman,Hernandez,10/1/1989,1/30/2027
14650,Clayton,Lewis,8/5/1991,4/6/1934
14651,Emily,Hernandez,3/21/1989,6/11/1956
14652,Agnes,Morris,8/1/1955,7/25/1900
14653,Vincent,Mason,7/22/1974,5/6/2019
14654,Adele,Moreno,9/4/1952,1/14/1999
14655,Lucile,Anderson,8/5/1971,12/21/1909
14656,Bernice,Long,4/6/1968,6/3/1922
14657,Mark,Rodgers,10/5/1965,7/23/1910
14658,Bobby,McGuire,2/24/1978,10/23/1960
14659,Jayden,Johnston,9/20/1967,4/12/2048
14660,Ethan,Foster,11/25/1963,10/6/1990
14661,Derrick,Castro,8/29/1969,2/3/2008
14662,Elva,Alexander,3/24/1962,1/22/2065
14663,Larry,Kelley,1/30/1981,5/9/2003
14664,Jeffery,Hernandez,6/17/1982,8/22/2047
14665,Joshua,Douglas,7/2/1965,4/21/2050
14666,Delia,Daniels,5/20/1982,4/12/2058
14667,Robert,Carr,1/3/1962,2/4/1956
14668,Benjamin,Jackson,7/4/1973,8/10/2068
14669,Randy,Martinez,3/31/1983,7/15/2008
14670,Tillie,Murphy,10/8/1996,3/17/1988
14671,Fannie,Hoffman,10/15/1999,1/28/1938
14672,Ivan,Mathis,1/13/1991,11/23/1939
14673,Sylvia,Schneider,9/2/1983,3/16/1989
14674,Rosie,Dunn,3/1/1989,11/26/1988
14675,Evan,Lyons,10/21/1957,8/12/1922
14676,Logan,Cross,3/1/1952,10/3/2044
14677,Alma,Lindsey,7/5/1984,3/31/1904
14678,Bryan,Barton,11/23/1981,3/11/2016
14679,Mabel,Carter,5/20/1960,1/7/1946
14680,Ricky,Henderson,6/29/1964,11/26/1947
14681,Mayme,Barton,11/27/1988,6/6/1910
14682,Emilie,Elliott,8/27/1974,12/10/1942
14683,Blanche,Allen,1/18/1977,2/15/2051
14684,Rodney,Terry,6/19/1974,12/16/2063
14685,Caroline,Schmidt,11/3/1961,12/27/1989
14686,Earl,Glover,10/16/1980,2/17/2048
14687,Stella,Ray,1/6/1991,5/26/2004
14688,Bradley,Mills,12/15/1966,10/13/1900
14689,Katharine,Tyler,9/20/1985,12/12/1934
14690,Cole,Thornton,11/21/1970,11/1/2017
14691,Milton,Harper,6/26/1968,5/2/1931
14692,David,Jenkins,6/29/1972,11/23/1999
14693,Jose,Tran,11/25/1984,9/18/2052
14694,Jayden,Rhodes,2/25/1994,1/11/1982
14695,Cory,Graham,4/14/1983,7/22/1937
14696,Ivan,Pope,6/12/1987,7/10/1993
14697,Bobby,Fleming,8/31/1959,1/27/2066
14698,Vera,Stephens,9/22/1965,6/25/2009
14699,Virgie,Norton,11/27/1958,6/18/1954
14700,Nicholas,Colon,2/9/1955,1/21/1923
14701,Joseph,Abbott,9/12/1982,11/7/2002
14702,Gregory,Gibson,8/30/1974,5/8/1957
14703,Tillie,Higgins,7/18/1994,2/20/2024
14704,Jerome,Mathis,4/11/1972,10/29/2022
14705,Duane,Osborne,12/18/1979,4/17/2033
14706,Verna,Pearson,8/14/1952,3/25/2012
14707,Ray,Ramirez,1/28/1979,8/27/1900
14708,Mabelle,Watkins,4/11/1976,1/23/2053
14709,Chad,Mann,4/13/1997,1/30/1934
14710,Charlotte,Ingram,2/19/1967,12/5/1959
14711,Eva,Brewer,8/11/1978,1/11/1939
14712,Eunice,Morris,11/15/1970,6/2/1979
14713,Lewis,Collier,9/25/1969,3/20/1991
14714,Estelle,Garcia,10/21/1998,4/16/1901
14715,Della,Davidson,8/27/1958,5/18/1931
14716,Gerald,Warner,4/2/1962,2/10/1916
14717,Melvin,Hernandez,6/25/1964,6/24/2047
14718,Frank,Peterson,12/28/1959,4/16/1985
14719,Eugenia,Craig,1/2/1956,6/7/2000
14720,Seth,Wheeler,4/11/1989,11/21/1991
14721,Sylvia,Banks,6/9/1965,4/13/1998
14722,Jessie,Floyd,6/24/1995,8/14/2020
14723,Clara,Marsh,4/21/1970,4/20/2023
14724,Frances,Gray,3/3/1958,10/31/1986
14725,Jason,Yates,4/27/1986,1/22/2002
14726,Corey,Reeves,3/4/1988,2/16/1932
14727,Jerome,Boyd,7/6/1960,1/14/2054
14728,Lee,Roberson,8/27/1963,8/11/1945
14729,Charlie,Ortega,9/27/1984,5/9/1938
14730,Milton,Moss,1/21/1973,3/16/2064
14731,Charlotte,Osborne,8/29/1953,9/20/2020
14732,Keith,Martin,7/27/1976,8/17/1961
14733,Eva,Cross,9/2/1967,11/8/2061
14734,Christina,Hall,9/5/1995,11/8/1937
14735,Chase,Rhodes,8/9/1960,7/21/2058
14736,Richard,Barnett,6/4/1999,9/6/1963
14737,Alvin,Walton,12/8/1994,3/4/2057
14738,Lura,Pena,6/13/1988,2/10/1960
14739,Cora,Cohen,3/1/1982,12/12/1976
14740,Clifford,Lawson,1/3/1981,5/25/2045
14741,Keith,Allen,5/21/1987,8/28/1933
14742,Anthony,Reid,12/12/1997,6/22/1922
14743,Lottie,Kim,2/1/1960,2/25/2019
14744,Mario,Gross,4/16/1986,6/24/2026
14745,Alex,Lucas,10/14/1992,12/3/1988
14746,Bill,Jimenez,1/19/1984,1/27/1965
14747,Emilie,Butler,1/29/1952,5/20/2061
14748,Alma,Carr,4/19/1952,8/24/2042
14749,Alta,Moss,3/23/1996,11/5/2026
14750,Caroline,Sandoval,5/30/1990,9/4/1901
14751,Evelyn,Day,9/12/1978,12/7/1994
14752,Augusta,Lyons,8/17/1987,6/29/1928
14753,Maurice,Campbell,9/20/1990,4/1/2038
14754,Nina,Drake,9/24/1987,2/20/1955
14755,Eugenia,Barnett,1/25/1974,5/2/1946
14756,Clyde,Gregory,5/12/1987,7/5/1963
14757,Manuel,Jordan,5/25/1989,8/24/1968
14758,Roy,Hunter,11/18/1975,12/8/1991
14759,Jon,Mann,11/17/1998,8/29/1942
14760,Caleb,Allen,10/6/1983,6/25/2064
14761,Luella,Garza,4/21/1972,11/20/1990
14762,Bess,Gardner,1/4/1959,10/16/1937
14763,Mabel,Brewer,8/25/1994,10/20/1935
14764,Ada,Ellis,10/29/1959,10/9/2068
14765,Polly,Casey,9/11/1986,1/18/2065
14766,Wayne,Walters,3/13/1958,8/4/2044
14767,Olivia,Tran,8/27/1968,3/30/1990
14768,Leo,Thompson,2/22/1979,1/12/1904
14769,Lula,Byrd,8/10/1958,5/10/2018
14770,Adam,Wolfe,9/29/1961,3/5/1911
14771,Brandon,Rivera,10/12/1970,2/27/1924
14772,Jean,Walsh,12/26/1989,10/3/2054
14773,Andre,Douglas,1/3/1977,12/19/1969
14774,Andrew,McDaniel,10/11/1954,11/24/2026
14775,Ralph,McGuire,11/9/1993,6/1/1909
14776,Raymond,Lane,11/14/1975,5/17/2033
14777,Sam,Roberts,12/22/1952,12/11/2048
14778,Florence,Carlson,2/28/1982,12/4/2008
